imageName,imageOrigin,xBudCenter,yBudCenter,radio,class,type
0001.jpg,0001.jpg,2343,1745,100,TRUE,2
0032.jpg,0002.jpg,2169,1661,77,TRUE,1
0056.jpg,0003.jpg,2340,1828,124,TRUE,2
0121.jpg,0004.jpg,2280,1540,90,TRUE,2
0163.jpg,0005.jpg,2144,1840,146,TRUE,1
0189.jpg,0006.jpg,2356,1932,124,TRUE,1
0208.jpg,0007.jpg,2428,1572,124,TRUE,1
0227.jpg,0008.jpg,2280,1872,104,TRUE,1
0228.jpg,0008.jpg,1448,1048,82,TRUE,1
0244.jpg,0009.jpg,2324,1108,114,TRUE,1
0319.jpg,0010.jpg,2196,1632,86,TRUE,1
0366.jpg,0011.jpg,2476,1576,106,TRUE,1
0417.jpg,0012.jpg,2232,1600,100,TRUE,1
0463.jpg,0013.jpg,2028,1264,104,TRUE,1
0493.jpg,0014.jpg,2186,1935,119,TRUE,1
0516.jpg,0015.jpg,2528,1560,132,TRUE,1
0535.jpg,0016.jpg,2228,1804,142,TRUE,2
0560.jpg,0017.jpg,2143,1825,100,TRUE,1
0584.jpg,0018.jpg,2082,1511,99,TRUE,1
0626.jpg,0019.jpg,2649,1805,126,TRUE,1
0643.jpg,0020.jpg,1988,1862,112,TRUE,1
0659.jpg,0021.jpg,2439,1312,122,TRUE,2
0676.jpg,0022.jpg,2326,1680,110,TRUE,3
0721.jpg,0023.jpg,1997,1721,107,TRUE,1
0752.jpg,0024.jpg,2569,1803,132,TRUE,1
0769.jpg,0025.jpg,2510,1454,97,TRUE,1
0794.jpg,0026.jpg,2143,1697,121,TRUE,1
0807.jpg,0027.jpg,2172,1344,92,TRUE,1
0827.jpg,0028.jpg,2404,1697,90,TRUE,1
0864.jpg,0029.jpg,2413,1615,76,TRUE,1
0997.jpg,0030.jpg,2216,1812,84,TRUE,1
1161.jpg,0031.jpg,1910,1679,92,TRUE,2
1198.jpg,0032.jpg,2580,1782,72,TRUE,2
1260.jpg,0033.jpg,2561,1335,107,TRUE,1
1276.jpg,0034.jpg,2390,1739,85,TRUE,1
1298.jpg,0035.jpg,2624,1847,143,TRUE,1
1323.jpg,0036.jpg,2106,1508,120,TRUE,1
1346.jpg,0037.jpg,2366,1683,131,TRUE,1
1379.jpg,0038.jpg,2074,1879,110,TRUE,1
1431.jpg,0039.jpg,2824,1323,124,TRUE,1
1513.jpg,0040.jpg,2071,1986,130,TRUE,1
1575.jpg,0041.jpg,2798,1721,98,TRUE,1
1614.jpg,0042.jpg,2649,1951,126,TRUE,1
1626.jpg,0043.jpg,2272,1467,102,TRUE,1
1639.jpg,0044.jpg,2328,1767,114,TRUE,1
1647.jpg,0045.jpg,2367,2170,143,TRUE,1
1661.jpg,0046.jpg,2170,1810,104,TRUE,1
1685.jpg,0047.jpg,2000,1692,138,TRUE,1
1729.jpg,0048.jpg,2312,1415,113,TRUE,1
1757.jpg,0049.jpg,1853,1837,110,TRUE,1
1834.jpg,0050.jpg,2385,1470,79,TRUE,1
1904.jpg,0051.jpg,1882,1715,106,TRUE,1
1942.jpg,0052.jpg,2056,1823,131,TRUE,1
1952.jpg,0053.jpg,2112,1238,88,TRUE,1
1971.jpg,0054.jpg,2455,1756,142,TRUE,2
1986.jpg,0055.jpg,2356,1436,119,TRUE,1
2004.jpg,0056.jpg,2446,1725,112,TRUE,2
2021.jpg,0057.jpg,2499,1479,106,TRUE,1
2055.jpg,0058.jpg,1968,1612,92,TRUE,1
2096.jpg,0059.jpg,2552,1636,86,TRUE,2
2124.jpg,0060.jpg,2644,1726,112,TRUE,1
2174.jpg,0061.jpg,2296,1668,69,TRUE,2
2192.jpg,0062.jpg,2071,1520,73,TRUE,1
2291.jpg,0063.jpg,2934,1746,67,TRUE,2
2321.jpg,0064.jpg,2201,1736,121,TRUE,1
2362.jpg,0065.jpg,1903,1468,88,TRUE,1
2390.jpg,0066.jpg,2061,1914,59,TRUE,2
2406.jpg,0067.jpg,2707,1574,120,TRUE,2
2440.jpg,0068.jpg,2449,1456,111,TRUE,1
2464.jpg,0069.jpg,1906,1556,111,TRUE,1
2501.jpg,0070.jpg,2390,1828,115,TRUE,1
2511.jpg,0071.jpg,1843,1667,113,TRUE,1
2593.jpg,0072.jpg,2403,2063,109,TRUE,1
2638.jpg,0073.jpg,1886,1964,115,TRUE,1
2696.jpg,0074.jpg,2166,1631,108,TRUE,1
2749.jpg,0075.jpg,2363,1515,110,TRUE,3
2774.jpg,0076.jpg,2301,1527,122,TRUE,1
2801.jpg,0077.jpg,1980,1761,80,TRUE,1
2822.jpg,0078.jpg,2336,1702,108,TRUE,1
2856.jpg,0079.jpg,2370,1654,96,TRUE,1
2914.jpg,0080.jpg,2273,1614,102,TRUE,1
2954.jpg,0081.jpg,2648,1472,178,TRUE,1
2967.jpg,0082.jpg,2506,1941,106,TRUE,2
3016.jpg,0083.jpg,2362,1518,129,TRUE,1
3038.jpg,0084.jpg,2328,1819,105,TRUE,2
3064.jpg,0085.jpg,2366,1379,112,TRUE,2
3080.jpg,0086.jpg,2062,1827,90,TRUE,1
3091.jpg,0087.jpg,1884,1997,116,TRUE,1
3111.jpg,0088.jpg,2314,1754,122,TRUE,1
3130.jpg,0089.jpg,2326,1735,131,TRUE,1
3190.jpg,0090.jpg,2099,2030,101,TRUE,1
3281.jpg,0091.jpg,2783,1262,204,TRUE,1
3302.jpg,0092.jpg,2454,1834,121,TRUE,1
3321.jpg,0093.jpg,2508,1637,122,TRUE,1
3382.jpg,0094.jpg,2204,1927,117,TRUE,1
3404.jpg,0095.jpg,2417,1884,62,TRUE,2
3509.jpg,0096.jpg,2355,1670,57,TRUE,3
3539.jpg,0097.jpg,2437,1578,88,TRUE,1
3566.jpg,0098.jpg,2337,1791,66,TRUE,1
3619.jpg,0099.jpg,2579,1700,88,TRUE,2
3711.jpg,0100.jpg,2267,1703,66,TRUE,1
3723.jpg,0101.jpg,2880,1841,111,TRUE,1
3733.jpg,0102.jpg,2579,1977,120,TRUE,2
3754.jpg,0103.jpg,2847,1740,129,TRUE,2
3764.jpg,0104.jpg,2779,1836,129,TRUE,3
3851.jpg,0105.jpg,2764,1853,123,TRUE,2
3871.jpg,0106.jpg,2541,1883,135,TRUE,2
3941.jpg,0107.jpg,2551,1817,130,TRUE,2
3977.jpg,0108.jpg,2678,1820,117,TRUE,2
4033.jpg,0109.jpg,2855,1700,120,TRUE,2
4052.jpg,0110.jpg,2457,1748,129,TRUE,2
4071.jpg,0111.jpg,2864,1930,147,TRUE,1
4130.jpg,0112.jpg,2821,1800,162,TRUE,2
4166.jpg,0113.jpg,2661,2033,154,TRUE,2
4215.jpg,0114.jpg,2847,1966,164,TRUE,2
4261.jpg,0115.jpg,2736,1808,144,TRUE,2
4276.jpg,0116.jpg,2957,1807,154,TRUE,1
4309.jpg,0117.jpg,2888,1826,198,TRUE,1
4325.jpg,0118.jpg,3043,1718,174,TRUE,1
4337.jpg,0119.jpg,2819,1836,122,TRUE,2
4357.jpg,0120.jpg,2380,1944,128,TRUE,1
4384.jpg,0121.jpg,2731,1907,122,TRUE,2
4417.jpg,0122.jpg,2649,1816,113,TRUE,2
4466.jpg,0123.jpg,2816,1890,170,TRUE,2
4499.jpg,0124.jpg,2996,2183,186,TRUE,2
4546.jpg,0125.jpg,2843,1826,152,TRUE,2
4572.jpg,0126.jpg,3014,1899,137,TRUE,1
4605.jpg,0127.jpg,2746,1948,133,TRUE,1
4626.jpg,0128.jpg,2693,1596,136,TRUE,2
4680.jpg,0129.jpg,2772,1948,139,TRUE,1
4721.jpg,0130.jpg,2609,1907,149,TRUE,2
4741.jpg,0131.jpg,2809,1862,121,TRUE,2
4769.jpg,0132.jpg,2615,1763,131,TRUE,2
4812.jpg,0133.jpg,2808,1711,130,TRUE,2
4826.jpg,0134.jpg,2984,1928,134,TRUE,2
4851.jpg,0135.jpg,2788,1967,135,TRUE,2
4900.jpg,0136.jpg,2797,1842,155,TRUE,2
4936.jpg,0137.jpg,2713,1905,170,TRUE,1
4955.jpg,0138.jpg,3098,1743,137,TRUE,1
4998.jpg,0139.jpg,2843,1934,150,TRUE,2
5013.jpg,0140.jpg,2823,1984,147,TRUE,2
5039.jpg,0141.jpg,2682,1926,150,TRUE,3
5061.jpg,0142.jpg,2372,1773,138,TRUE,2
5097.jpg,0143.jpg,2815,1848,143,TRUE,2
5130.jpg,0144.jpg,3055,1846,162,TRUE,2
5170.jpg,0145.jpg,2608,1879,161,TRUE,2
5194.jpg,0146.jpg,3067,1710,165,TRUE,2
5221.jpg,0147.jpg,2862,1830,146,TRUE,2
5239.jpg,0148.jpg,2623,1881,140,TRUE,1
5258.jpg,0149.jpg,2698,1923,112,TRUE,2
5275.jpg,0150.jpg,2711,1835,161,TRUE,2
5288.jpg,0151.jpg,2784,1818,139,TRUE,1
5312.jpg,0152.jpg,2888,1869,164,TRUE,1
5334.jpg,0153.jpg,2877,1823,117,TRUE,2
5347.jpg,0154.jpg,2546,1972,114,TRUE,2
5366.jpg,0155.jpg,2762,1918,137,TRUE,2
5400.jpg,0156.jpg,2802,1948,160,TRUE,2
5441.jpg,0157.jpg,2787,1742,124,TRUE,1
5460.jpg,0158.jpg,2684,1758,145,TRUE,2
5476.jpg,0159.jpg,2863,1875,155,TRUE,1
5502.jpg,0160.jpg,2497,1825,159,TRUE,2
5524.jpg,0161.jpg,2713,1910,149,TRUE,3
5544.jpg,0162.jpg,2635,1847,174,TRUE,2
5585.jpg,0163.jpg,2807,1963,151,TRUE,2
5602.jpg,0164.jpg,2656,1940,137,TRUE,1
5621.jpg,0165.jpg,2804,1955,126,TRUE,1
5639.jpg,0166.jpg,2697,1795,134,TRUE,2
5667.jpg,0167.jpg,2713,1817,142,TRUE,2
5689.jpg,0168.jpg,2575,1798,158,TRUE,2
5717.jpg,0169.jpg,2776,1932,163,TRUE,1
5752.jpg,0170.jpg,2899,1712,160,TRUE,2
5791.jpg,0171.jpg,2713,1899,158,TRUE,2
5833.jpg,0172.jpg,2685,1747,159,TRUE,3
5874.jpg,0173.jpg,2777,1882,114,TRUE,2
5891.jpg,0174.jpg,2694,1875,125,TRUE,1
5923.jpg,0175.jpg,2837,1973,124,TRUE,2
5949.jpg,0176.jpg,2613,1648,133,TRUE,3
5981.jpg,0177.jpg,2793,1833,88,TRUE,2
6025.jpg,0178.jpg,2526,1833,143,TRUE,3
6058.jpg,0179.jpg,2747,1908,126,TRUE,2
6082.jpg,0180.jpg,2571,1709,135,TRUE,2
6131.jpg,0181.jpg,2640,1874,159,TRUE,1
6166.jpg,0182.jpg,2902,1770,159,TRUE,1
6202.jpg,0183.jpg,2687,2015,123,TRUE,2
6240.jpg,0184.jpg,2486,1920,135,TRUE,2
6267.jpg,0185.jpg,2757,1894,115,TRUE,2
6286.jpg,0186.jpg,2886,1927,123,TRUE,1
6329.jpg,0187.jpg,2943,1811,130,TRUE,2
6367.jpg,0188.jpg,2730,1908,123,TRUE,1
6408.jpg,0189.jpg,2791,1821,134,TRUE,2
6437.jpg,0190.jpg,2615,1946,129,TRUE,3
6480.jpg,0191.jpg,2773,1981,131,TRUE,3
6516.jpg,0192.jpg,2523,1844,125,TRUE,2
6537.jpg,0193.jpg,2677,1902,157,TRUE,3
6564.jpg,0194.jpg,2790,1952,167,TRUE,2
6580.jpg,0195.jpg,2682,1840,134,TRUE,2
6597.jpg,0196.jpg,2651,1861,139,TRUE,2
6617.jpg,0197.jpg,2785,1889,161,TRUE,1
6666.jpg,0198.jpg,2720,1939,155,TRUE,1
6724.jpg,0199.jpg,2816,2019,140,TRUE,2
6775.jpg,0200.jpg,2567,1884,134,TRUE,3
6837.jpg,0201.jpg,2202,2197,56,TRUE,2
6838.jpg,0201.jpg,2416,1483,29,TRUE,3
6976.jpg,0202.jpg,2300,1215,49,TRUE,3
6977.jpg,0202.jpg,2417,1909,45,TRUE,3
7047.jpg,0203.jpg,2249,2037,52,TRUE,3
7139.jpg,0204.jpg,2412,1464,89,TRUE,2
7140.jpg,0204.jpg,2502,2705,65,TRUE,2
7219.jpg,0205.jpg,2818,1068,88,TRUE,2
7220.jpg,0205.jpg,2180,2229,70,TRUE,2
7458.jpg,0206.jpg,1696,1164,47,TRUE,3
7459.jpg,0206.jpg,2490,2245,90,TRUE,3
